date,USD_fed_funds_rate,EUR_ecb_rate,JPY_call_rate,GBP_overnight_rate,CHF_policy_rate,US_10Y_yield,DE_10Y_yield,JP_10Y_yield,GB_10Y_yield,AU_10Y_yield,US_CPI,US_unemployment,US_GDP_growth
2000-01-01,5.45,2.0,0.02053,,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-02,5.45,2.0,0.02053,,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-03,5.45,2.0,0.02053,,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-04,5.45,2.0,0.02053,4.591,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-05,5.45,2.0,0.02053,4.4584,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-06,5.45,2.0,0.02053,4.9208,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-07,5.45,2.0,0.02053,4.4172,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-08,5.45,2.0,0.02053,4.4172,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-09,5.45,2.0,0.02053,4.4172,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-10,5.45,2.0,0.02053,4.2968,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-11,5.45,2.0,0.02053,3.9486,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-12,5.45,2.0,0.02053,3.6436,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-13,5.45,2.0,0.02053,5.5285,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-14,5.45,2.0,0.02053,5.0126,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
2000-01-15,5.45,2.0,0.02053,5.0126,1.1842700000000002,6.66,5.53952380952381,1.691,5.8227,7.1778947368421,169.3,4.0,1.5
