"id","commodity_id","industrial_demand","energy_demand","food_consumption","export_import","sector_usage"
250,250,"5514.21243353982","8075.78609605026","2172.21800668449","7586.41344835725","Agriculture"
251,251,"1576.99506282507","5484.75687145167","1375.32135931105","9633.89915373227","Agriculture"
252,252,"8550.86778287803","4221.98306038904","1675.77558181258","3571.6653410016","Agriculture"
253,253,"1778.30303076742","1333.66124181989","3752.72799850372","8862.72415538497","Agriculture"
254,254,"514.163458947201","6315.83960500928","6371.53965673775","4171.42801112581","Agriculture"
255,255,"4405.376689991","263.293013545918","497.821024781264","760.613669582715","Agriculture"
256,256,"3421.37820019949","5297.80967748689","3495.27166334303","2322.68370896631","Agriculture"
257,257,"2857.04337949776","6077.40665483911","5373.24788040894","9394.25118856887","Agriculture"
258,258,"3409.74000409135","67.542718593403","9605.84513966934","7847.28823679065","Agriculture"
259,259,"8089.64494486312","6760.6320455833","5840.02940441081","6680.8775950617","Agriculture"
260,260,"8883.27880748452","6631.00107002368","136.407701250409","6935.50822245689","Agriculture"
261,261,"9034.56946596115","3385.9802669139","8625.06918852192","6389.01765056876","Agriculture"
262,262,"6693.49424443338","4362.50124984276","6809.49727153737","2372.71726395945","Agriculture"
263,263,"2812.65836985916","118.642300602638","3124.39089615653","9928.04037742425","Agriculture"
264,264,"7792.72518772225","4831.92518118887","9702.7713714825","407.147489334889","Agriculture"
265,265,"9660.67461270972","6373.00250430857","29.3599714720183","1183.89677951244","Agriculture"
266,266,"6366.71012964026","6035.21987730492","7866.02589521256","5071.00928852089","Agriculture"
267,267,"6488.73346228334","6006.32665888066","1126.11674301256","9227.74580686485","Agriculture"
268,268,"9456.593685929","6679.75848542673","7075.46159268172","9160.27198627033","Agriculture"
269,269,"5380.333944019","4495.31295522824","5492.26534913435","4564.74525881259","Agriculture"
270,270,"292.87152197474","4918.5576827467","486.671112827151","1438.35880023798","Agriculture"
271,271,"4580.61181618454","8250.21080386124","5203.02156350121","9060.30146644189","Agriculture"
272,272,"5301.1878034972","8475.28276063821","2087.02257838416","3726.38997803417","Agriculture"
273,273,"4287.92199978742","2625.76370601681","4073.6796110581","3693.94835754418","Agriculture"
274,274,"6082.51617139271","7499.68732360464","8740.76522091855","8866.58231178813","Agriculture"
275,275,"1902.46968417426","4686.51858163557","1251.11788088174","2689.56516233352","Agriculture"
276,276,"9364.15729403174","4572.78899478082","6454.57194269532","504.2695416944","Agriculture"
277,277,"9507.17983874809","7713.66203498867","2246.95855962757","3474.0398434255","Agriculture"
278,278,"7630.57705521587","1693.61625903968","5728.54337342804","8942.37649470911","Agriculture"
279,279,"7088.91358852999","1923.55188016351","2977.3432317398","655.235342376335","Agriculture"
280,280,"3520.06496934827","2961.6207693459","5332.68754377132","8806.72940220585","Agriculture"
281,281,"3778.82939219979","2899.78668374083","1961.75336576416","5524.12688947779","Agriculture"
282,282,"8981.12749990947","6089.69466039693","5403.1277276911","6241.29298067416","Agriculture"
283,283,"4207.71218785585","3266.69335290187","2995.52516382314","1887.06899584587","Agriculture"
284,284,"951.726655862628","3517.9738665808","9795.56084283679","3129.81518036747","Agriculture"
285,285,"6307.66462163156","759.458461329308","7087.79956365523","2979.37458149795","Agriculture"
286,286,"4339.55606704244","1644.64627416524","2583.40323884124","9414.87811569804","Agriculture"
287,287,"2008.24751819108","6447.30290630144","5329.94926803706","9138.86746537868","Agriculture"
288,288,"9305.09742968559","1823.4949138164","5338.73736934815","7402.49575311325","Agriculture"
289,289,"55.4112574184607","8810.40645528244","8156.01845839531","9090.30824768606","Agriculture"
290,290,"4788.40561109565","6471.14666923799","1854.04194784271","4548.60306821128","Agriculture"
291,291,"700.324959008469","3180.50360123754","9425.06130132295","7056.31247442313","Agriculture"
292,292,"1277.90823873297","6738.87395303583","3710.21959179532","9054.02180302041","Agriculture"
293,293,"1878.68242099713","6793.82701406225","5200.56213732966","1315.84988926654","Agriculture"
294,294,"2722.00677880732","4512.57081990012","5807.04357884229","378.753602846502","Agriculture"
295,295,"1327.69073846481","834.42499242971","6858.60713816343","3885.29996082753","Agriculture"
296,296,"7133.71181539723","7799.35331680219","5953.79647834297","7700.75322851164","Agriculture"
297,297,"8520.10497641665","2428.34456259929","2910.79216292161","5382.10827898064","Agriculture"
298,298,"9846.78622197242","4579.07254182673","5376.31855020061","6617.88274628503","Agriculture"
299,299,"2231.85539247662","1466.4039759752","2882.20448720693","5923.00885910758","Agriculture"
300,300,"2560.10353432386","1751.23649110951","9552.25422530724","2760.36176587307","Agriculture"
301,301,"8552.92449708408","7554.68792032738","1494.00510547522","1206.82498542395","Agriculture"
302,302,"1823.87054063655","6175.75253538142","4874.53891909087","8272.69752312869","Agriculture"
303,303,"5945.64402229915","1057.21347756517","8779.99645044327","4156.84925910956","Agriculture"
304,304,"7688.3124320739","1247.96381265243","9369.59021927231","8153.72715156038","Agriculture"
305,305,"2324.35454107912","267.633304608923","1383.22558529471","7320.58733054273","Agriculture"
306,306,"3654.81468456684","6718.93947325545","5128.9787655033","5417.97521410088","Agriculture"
307,307,"4387.47882801688","48.0765458374477","6274.16100852287","9880.61400311058","Agriculture"
308,308,"9291.07730555268","868.690925379743","5637.32068645619","7469.8796970438","Agriculture"
309,309,"7625.00490206917","5903.6175202696","1629.62944991761","8146.31264184479","Agriculture"
310,310,"8202.90973997528","88.6733585367394","9052.84237417571","7435.45729588745","Agriculture"
311,311,"2689.26372568836","1763.40753442828","7734.71892784837","6045.74083076599","Agriculture"
312,312,"8989.53144042172","6515.53066520368","8591.78304132338","5576.59168940848","Agriculture"
