"id","commodity_id","msp","import_duty","export_duty","subsidies","stock_limits","procurement"
250,250,"4492.81390708874","39.6069160971515","0.906236088126433","192.969961354233","1594.19905393464","Government Support"
251,251,"2155.29897347475","34.7489595827577","6.90030991658759","693.266512567963","378.423562778989","Government Support"
252,252,"3279.19308796162","39.6535807886378","35.7779704606035","503.168296897217","1422.92180098166","Government Support"
253,253,"3881.26406516192","46.4095408959082","10.5490227524984","752.573325629962","9220.02399711302","Government Support"
254,254,"552.878585705417","12.905211434041","21.3776008852608","708.621022030592","3396.53936710431","Government Support"
255,255,"420.596699653584","44.1939143217645","44.8141830093818","459.255816126964","6086.1961085234","Government Support"
256,256,"290.52352307972","9.34202565276194","18.4116668025249","39.6936182069283","3301.1834220102","Government Support"
257,257,"4769.26580333463","17.4126217928102","32.1634682418452","547.385303264086","7869.80088950874","Government Support"
258,258,"2599.05360132945","28.3230454447097","45.3396085085669","20.0672303743406","886.828729284457","Government Support"
259,259,"3173.64896502584","18.5560152840717","46.119820793942","416.12344805137","9426.34696349183","Government Support"
260,260,"61.8435739688405","43.9967261063705","29.5575742076498","189.415517122929","3383.40250613475","Government Support"
261,261,"4848.90412074649","31.1005611046802","22.9177859764818","59.5116980245245","5605.1796831167","Government Support"
262,262,"2549.7101581146","31.8835714266577","5.56866885965955","937.759085143227","2215.98067250856","Government Support"
263,263,"2814.40273660844","31.3835915154095","14.5479120185504","361.634361266143","2813.15740893799","Government Support"
264,264,"1339.9398449006","41.2233317618048","9.79452061503452","786.997373173879","9363.51387378187","Government Support"
265,265,"259.677411860286","42.0899103830152","33.8129116739254","344.684037144521","4339.5826897095","Government Support"
266,266,"1915.63357255999","37.1862709640773","8.56849679288101","956.498027259275","4632.04236937662","Government Support"
267,267,"4346.48307316025","35.9228145363141","10.1548925365785","89.0224119483831","7986.44281456225","Government Support"
268,268,"750.944276837853","17.573641987175","16.7494057558175","332.552215391888","3585.23550724896","Government Support"
269,269,"20.3075442259237","26.3185097422056","38.8338464243299","617.68942560701","9838.12642081809","Government Support"
270,270,"226.04612345034","35.8370816937325","24.2101758820901","915.164807894027","7476.68372697392","Government Support"
271,271,"2589.89706545684","38.8430686177552","14.0662909939688","602.949623833923","6393.61940875929","Government Support"
272,272,"3351.36379789888","49.4533402229445","33.8207969803452","416.441165437775","7791.05301195814","Government Support"
273,273,"3145.46576251836","0.993487431101736","44.3998285941714","984.022671919784","4611.75124925815","Government Support"
274,274,"4443.84085406599","47.4793713390846","1.90277568171571","978.722148804286","1462.5100619949","Government Support"
275,275,"4060.35330617449","27.0889293893754","48.6127865547016","297.894167881449","7057.39947055954","Government Support"
276,276,"495.656351204813","29.641478497402","16.6644565355933","358.408572581261","226.414357849585","Government Support"
277,277,"4634.48819096786","5.16290127258073","23.776278345816","873.813299663294","463.7479041338","Government Support"
278,278,"31.8536757379717","38.3801371007408","15.2990423668535","156.638366936512","8175.2531093843","Government Support"
279,279,"694.254383387006","34.855060152833","8.49622051942839","129.780939591243","3902.68498156472","Government Support"
280,280,"4872.96940571339","43.1368462576911","23.7072546913778","552.755932340278","5403.50942972523","Government Support"
281,281,"4602.98687141897","24.1978464324001","12.0403689390987","811.167610494188","9045.60762677768","Government Support"
282,282,"1985.62156570141","43.961903084502","28.5611021979229","291.405990958089","7691.32145863709","Government Support"
283,283,"1326.14213833287","48.9096950827421","8.03995339629334","317.477629564532","3851.1276738979","Government Support"
284,284,"3535.72898920827","12.6148485389597","49.7598902627765","602.71643779003","398.148511962098","Government Support"
285,285,"4097.6391628188","47.120263541572","37.6763252117568","764.050886901835","6344.19578309176","Government Support"
286,286,"4081.12647682604","10.6030385396199","16.034071302195","868.410704314832","2048.22558244206","Government Support"
287,287,"1220.45525826915","6.10333660706922","41.3974581889299","60.4464493332049","9817.69877535512","Government Support"
288,288,"3053.51375376816","22.2650907751922","2.35982981223223","590.501855989233","1576.62266603597","Government Support"
289,289,"2841.22004932256","30.5423543312668","26.2018126551926","914.332158348665","2008.24977261394","Government Support"
290,290,"4828.8744229444","35.4269028196898","9.8796612734947","991.920690404306","1027.38716695383","Government Support"
291,291,"326.463119223785","46.9353401063528","0.331497159723626","897.155471723218","7146.64822886879","Government Support"
292,292,"2961.52644013844","28.608801359713","46.3135334569068","556.434536899907","3526.13623531713","Government Support"
293,293,"2314.17777382789","25.6492239847081","32.7648879146405","879.449296212365","191.849741206016","Government Support"
294,294,"3636.69402821509","31.8822998410881","25.7112585767426","818.615629910644","1509.63169367586","Government Support"
295,295,"4120.74912641837","44.5145906441405","36.9689953509866","982.913764164874","9660.51494858425","Government Support"
296,296,"4964.73988784975","0.380534864566384","9.53307448593782","375.670062892742","6012.99652108811","Government Support"
297,297,"3498.77947317799","48.6475245205428","42.7147323226407","121.81963319895","4137.04662603655","Government Support"
298,298,"2909.79051513915","21.4526852840086","11.1100003197455","462.47606870646","5204.38259812431","Government Support"
299,299,"3243.7157553404","42.2980814883272","41.6003513045976","304.789152329198","5049.8199852545","Government Support"
300,300,"1463.00796989806","21.5843543157263","33.3232513938537","772.807865619359","7562.28040784109","Government Support"
301,301,"1926.33060129094","26.4896288332034","34.9041342706036","418.560021925895","4983.69198226307","Government Support"
302,302,"1820.61973143924","14.7336396761409","46.101369763522","848.802553080526","7444.39708115036","Government Support"
303,303,"452.223988603587","34.2922566522129","18.8853714635222","77.1109767281364","6409.32629176252","Government Support"
304,304,"3480.40556678938","12.0038883520134","31.8982453466696","244.531647022776","7491.09535045986","Government Support"
305,305,"3529.08074471026","19.611544029562","4.76464806889246","273.881177347281","6187.04799622576","Government Support"
306,306,"2750.40844060234","23.5326545292279","41.5547425797522","44.5285606095385","6168.17152030212","Government Support"
307,307,"2667.23087832711","36.1554622073111","0.405979907597154","576.225448939276","8247.68586202934","Government Support"
308,308,"876.549892952423","30.5113192652737","21.3516482605477","521.350757587995","1884.56882217861","Government Support"
309,309,"4818.21787613785","24.7211308765945","39.5748329907677","170.127861969371","9288.01357089893","Government Support"
310,310,"2617.83822390235","16.2139386015081","38.1820266457272","516.505250525278","8075.02529299256","Government Support"
311,311,"3864.70303291172","10.593372305137","41.0244240745166","955.224124874503","1996.00215392689","Government Support"
312,312,"4703.04490713413","46.6204558686359","10.8669284530379","617.682870122806","2096.92457628516","Government Support"
