"id","commodity_id","trend_strength","momentum","mean_reversion","probability_model","volatility_model"
250,250,"5.62872220066844","5.46462861600591","4.96015756511871","Regression","ARIMA"
251,251,"3.33974259969692","5.43874629904949","6.46227961597888","Regression","ARIMA"
252,252,"2.78896963111757","7.77579646333014","8.59616681265896","Regression","ARIMA"
253,253,"5.88624399321711","1.87020442447637","3.09398902117886","Regression","ARIMA"
254,254,"3.65029511050839","2.48804916985227","9.67236095698897","Regression","ARIMA"
255,255,"0.311817489068709","7.69437332430872","6.27184154351055","Regression","ARIMA"
256,256,"4.9168714433391","3.50006690209681","5.08293798386385","Regression","ARIMA"
257,257,"8.73234007671959","9.19385864666977","0.363099996737257","Regression","ARIMA"
258,258,"5.29657889077279","6.41518850723046","8.10748574196814","Regression","ARIMA"
259,259,"4.72050394911177","7.18612683783017","7.249712798469","Regression","ARIMA"
260,260,"7.63923891502885","8.21290017755471","7.77092653129029","Regression","ARIMA"
261,261,"8.91931698037352","9.49790224671415","9.29291418216151","Regression","ARIMA"
262,262,"6.12059627681784","8.75311742607393","8.94544574405304","Regression","ARIMA"
263,263,"0.286563038726106","4.4447482019384","2.89780817835539","Regression","ARIMA"
264,264,"0.552906368385573","7.81233178721812","3.74166520129988","Regression","ARIMA"
265,265,"2.01892764843066","7.83991830037504","9.11135414626388","Regression","ARIMA"
266,266,"9.08339347158331","7.42696946636032","2.95093571617369","Regression","ARIMA"
267,267,"5.36204400469435","8.41991732008418","7.22362734973916","Regression","ARIMA"
268,268,"3.17288578471403","1.25249494833087","7.52568503767219","Regression","ARIMA"
269,269,"9.27289280907138","4.4416929875378","0.242028228417541","Regression","ARIMA"
270,270,"3.15180849345042","1.4398330702765","3.22277360967675","Regression","ARIMA"
271,271,"9.74879100212875","1.88981746378318","8.10258509639355","Regression","ARIMA"
272,272,"8.52012406570933","3.52819882985738","6.64372621894361","Regression","ARIMA"
273,273,"0.649108944431369","6.65981015801048","8.68015270485458","Regression","ARIMA"
274,274,"9.51374595437559","6.65673651932174","5.87252820076281","Regression","ARIMA"
275,275,"8.28687118916268","7.59505796447974","2.41933831492529","Regression","ARIMA"
276,276,"1.41326676319095","7.40175760245316","1.42553261343952","Regression","ARIMA"
277,277,"6.18744257798985","4.60810692608109","9.2546515133651","Regression","ARIMA"
278,278,"3.69932314490772","6.48008446775276","1.89275924466238","Regression","ARIMA"
279,279,"1.68294551573618","6.5140860184282","2.021904220409","Regression","ARIMA"
280,280,"6.72965413346547","8.80472295772937","1.86057247736447","Regression","ARIMA"
281,281,"3.22499629382134","6.97923432945841","3.87472450261749","Regression","ARIMA"
282,282,"2.95390217677615","5.16320387960632","1.04010479454879","Regression","ARIMA"
283,283,"5.30504249428793","6.32053572459011","5.28648182968218","Regression","ARIMA"
284,284,"1.95194011685242","7.70182865540251","0.412845783505786","Regression","ARIMA"
285,285,"6.10217533114431","9.93922797223595","2.61232489742604","Regression","ARIMA"
286,286,"3.9527277624539","1.40511887636494","5.01939004391498","Regression","ARIMA"
287,287,"5.18973640341857","1.18688861387908","2.71626254285055","Regression","ARIMA"
288,288,"7.71615316037806","8.44833260487391","1.16498375029839","Regression","ARIMA"
289,289,"2.68878708735345","1.76266408281564","2.09950878893185","Regression","ARIMA"
290,290,"1.80185114131319","1.45252542715719","4.02158309987876","Regression","ARIMA"
291,291,"6.596215962053","0.978247825049163","8.22874227079252","Regression","ARIMA"
292,292,"3.31851050062155","9.83245810045081","5.73405576258778","Regression","ARIMA"
293,293,"1.57762152884966","9.27313875724491","7.3696636384345","Regression","ARIMA"
294,294,"2.27047580492897","6.54690035910041","9.95353783573543","Regression","ARIMA"
295,295,"6.7829671403369","4.60282360835587","1.32467927568204","Regression","ARIMA"
296,296,"6.08753150533369","4.09737842316937","5.31279217755317","Regression","ARIMA"
297,297,"1.55372105195225","0.824092561328904","7.96546273749863","Regression","ARIMA"
298,298,"3.70777442315877","4.84217403114314","2.53002186806992","Regression","ARIMA"
299,299,"5.02221746668358","8.21030833407805","3.73531681949724","Regression","ARIMA"
300,300,"4.57656129079329","9.53837698258793","4.7385924138329","Regression","ARIMA"
301,301,"4.206533237478","5.84035008219477","1.73923803478152","Regression","ARIMA"
302,302,"7.79955935448533","6.68398578796967","2.98193660370736","Regression","ARIMA"
303,303,"4.56365226640084","7.20624857254413","3.06446108685619","Regression","ARIMA"
304,304,"2.96520392397414","6.74889542696896","8.67084827280874","Regression","ARIMA"
305,305,"4.39251566761494","5.85099792858859","1.17897054834705","Regression","ARIMA"
306,306,"1.43783405355513","4.74722595733244","1.99506877854799","Regression","ARIMA"
307,307,"5.77357174064283","2.39732146941745","4.72302045194049","Regression","ARIMA"
308,308,"5.91706535624576","6.79995032423311","8.06717033467995","Regression","ARIMA"
309,309,"5.69531808760375","9.23887130730466","7.61502135418858","Regression","ARIMA"
310,310,"1.78435822152858","9.53604121126973","6.29499625869042","Regression","ARIMA"
311,311,"9.03768034141526","4.92980110488374","7.39981017294615","Regression","ARIMA"
312,312,"3.21531210713805","3.67760859064002","6.29157098707895","Regression","ARIMA"
