"id","commodity_id","global_stock","warehouse_inventory","strategic_reserves","buffer_stock"
250,250,"6743.83855932739","14010.6765117506","18220.9608423567","16462.071876395"
251,251,"26462.1289214965","45420.2626103357","18930.4501336018","1505.98019261039"
252,252,"62236.2096100844","27535.3937206538","19793.5360883842","3556.50377259535"
253,253,"91435.738870418","2956.75034290783","25383.3051431924","3969.61417216825"
254,254,"39232.9418593741","38107.7391182995","15662.0235700761","3299.21467027334"
255,255,"47350.2121219637","24393.4900622906","17486.4212684148","1786.47914195922"
256,256,"69477.1313020491","16603.4026990501","295.86630584969","244.082570188504"
257,257,"98317.8177049075","28059.9369623362","15018.9727077224","3523.83659234814"
258,258,"31370.2481328792","12030.9632879282","4624.78610781914","7244.62311828939"
259,259,"929.207332248949","4414.36246179979","18911.2922399335","2260.32492446839"
260,260,"19424.1155274207","22472.9134002025","4019.7816632075","14036.3204800471"
261,261,"67456.3211838001","10301.0637846141","1132.04124422505","10252.121290726"
262,262,"32440.6792546336","1303.63594909552","11255.6332054738","10594.4422527407"
263,263,"61211.1823316529","47117.1513746649","2713.93935814875","1881.7687535911"
264,264,"13819.6968954552","42899.6785747073","22246.026324723","8304.29848424525"
265,265,"15794.4940525411","38942.6296343001","18657.7007024967","4398.51629455096"
266,266,"70717.3096198523","47910.3130519266","21716.2933807434","1206.4956660505"
267,267,"22775.0354411485","7506.24391979999","5342.57051583528","18834.7495862882"
268,268,"12323.5959960741","32078.2793187351","1723.65656340473","1453.42894999123"
269,269,"52914.3084057958","35176.7841449308","3768.09895329417","16720.0323575488"
270,270,"67335.4939022669","21805.4953097754","26219.0403540148","8164.28821080675"
271,271,"36539.4701256169","18929.1223576638","5947.51328335658","4090.94105181488"
272,272,"80581.7721039928","13658.4132048784","17635.5682194573","1285.65866134691"
273,273,"55515.235248437","48379.3467285371","5163.26633185026","15227.4806400669"
274,274,"31494.320592512","44386.1023965204","21298.7650130725","18134.9611749986"
275,275,"3646.64580677654","5265.32576743712","1110.19121625196","11560.6237587301"
276,276,"19483.6023957621","49636.7531616754","7936.19257649027","7423.4267866186"
277,277,"4465.58610193339","46589.0637032753","5696.59322458518","2800.17638103241"
278,278,"71637.2604658613","15020.0100753857","25523.0654587434","12925.5833484981"
279,279,"11688.8943218039","29040.2050834744","25557.3504307676","6661.62671338307"
280,280,"69417.4959775826","26078.1327456017","8035.5732831863","5402.07077623186"
281,281,"46082.28200026","14569.6481764965","11141.447340182","18486.2613827745"
282,282,"46994.6878200596","42680.1945007846","21984.599420579","8275.99083733484"
283,283,"57444.8147457089","5180.19894882944","15206.4817889545","6799.25332447348"
284,284,"67858.5632804853","32185.879546141","25663.3912047758","10499.2623300068"
285,285,"46920.8253568185","48055.0979516387","9589.63315806572","10873.3250291663"
286,286,"63857.6251483881","2708.94755846798","18732.4117904986","15449.4665711839"
287,287,"96564.9097375287","33942.0883295289","5329.65947282386","11456.9586243806"
288,288,"43824.1881077295","30659.9423590398","29091.0120495328","1128.17235560116"
289,289,"56692.7244581574","45739.3888369567","8982.80687505904","19847.2973891738"
290,290,"31681.6592855107","6107.33067375359","947.399989201976","1965.90175290172"
291,291,"30230.9056530526","44186.9483911617","6887.63869819188","10556.9808541516"
292,292,"54388.9577414792","44878.9618649418","11935.3319345772","6984.64305090307"
293,293,"65653.3464517593","25958.7544171461","26085.5628916574","12840.3281088707"
294,294,"34688.4660728481","34696.1643030742","12590.7526483289","13099.4612093631"
295,295,"62697.6123119728","10226.1538077303","28586.6709171455","2826.66970391057"
296,296,"97445.1556499142","34024.7468977226","29363.6320862947","14181.4720436976"
297,297,"55518.6678023291","30375.1121400486","20885.102211284","4556.85260280684"
298,298,"62998.6884472821","19422.4771551949","14422.27632907","4624.15116556472"
299,299,"17600.338344408","45183.0764713701","2047.34590191634","4194.44496274159"
300,300,"16366.2246764707","35728.9278515462","2776.44531064855","447.409267886711"
301,301,"30393.0793911337","42817.0972644535","23144.2084299018","12562.6516274115"
302,302,"25619.4071733224","28940.4275656389","29815.8389154869","15409.9090871323"
303,303,"38474.5395119929","18847.2899655502","3538.92564453937","15302.5732398358"
304,304,"69809.7818682489","1560.89443999747","18553.9863979673","17529.6959696625"
305,305,"52191.7898687859","25230.349286272","21990.5998849488","16331.5469219317"
306,306,"79676.6613629866","34446.1087493692","970.708555919364","14770.6950219134"
307,307,"32953.3569389725","41648.8423529818","6435.45783397105","3864.74544499493"
308,308,"15733.4415997352","46875.5905143993","12785.8395323823","17495.8228404155"
309,309,"82898.9955540508","11535.5798779129","6934.90945056086","13048.8355397361"
310,310,"92254.5910447859","32716.4034449914","5664.28358988995","13432.6751336358"
311,311,"78215.8235390262","23371.2248281036","12665.4128831132","6864.2564254683"
312,312,"81800.5988268139","24397.37162247","17533.5734366491","6791.88482153786"
