"id","commodity_id","ltp","volume","open_interest","bid_price","ask_price","intraday_movement"
250,250,"871.929611875351","85337.4836330712","71232.010643139","386.325376248938","201.247617133869","9.50725629593212"
251,251,"859.812848200785","31991.3078456547","60055.8072087433","204.880414540449","893.224608260431","5.73214380334292"
252,252,"651.657260242377","47055.3476430654","68584.7848215202","131.702070625875","146.979543817069","8.77919740450837"
253,253,"423.139526415896","32096.9030249694","14584.608124913","370.204194324108","283.116985079819","5.03580407985464"
254,254,"932.397397627258","55176.6626184991","46239.716769907","431.538241912512","536.770313371128","7.42858837029906"
255,255,"646.844903851819","70206.0934469147","80532.9612074234","470.681154243854","811.868224184005","3.98087150499042"
256,256,"269.082311868072","59860.5622248866","51358.6517497902","227.342276692964","574.046336760213","1.79695502672401"
257,257,"294.630136680565","82907.8654441207","8039.92467806285","871.531262894822","51.5552042477627","0.591501262971745"
258,258,"155.674433004457","82461.5923242366","57898.371355021","913.782533085366","489.362551329919","8.08823076415379"
259,259,"460.492216003396","89594.5959234678","70243.211978433","431.075979010969","191.581750681996","7.92099914980485"
260,260,"501.619786179533","28869.3555972425","62543.7598775385","274.03014016657","673.451598780892","6.46923210835661"
261,261,"574.164749104246","26919.0144285253","58140.7162898228","490.794542104242","565.368102775531","6.25083128876365"
262,262,"354.586585936377","33355.0334040332","8240.05814527915","355.572785266045","572.752757637028","1.38536660153843"
263,263,"796.213095784378","26644.7416867584","96408.291709488","290.685073987252","712.722418060872","8.22093769422037"
264,264,"681.600571610048","56079.720586164","77680.1095787978","293.027395977685","302.671125588968","9.19271217992939"
265,265,"710.647761076068","4104.92507492188","49668.1962717108","874.85115244851","903.890999069807","2.56829371263284"
266,266,"326.32278936816","39068.8986583902","1745.20938488807","895.819387736243","692.682997617717","2.94952372892553"
267,267,"663.227717074651","69536.7978519405","7902.51595734739","127.855765061704","420.665650155053","5.35324394773196"
268,268,"551.334447887202","78604.1280645873","93642.3082073681","371.507265776384","348.39237704961","3.82226847819827"
269,269,"747.185788046957","76557.0120581908","5323.38793335718","448.299707282539","873.128334255151","0.465451273304789"
270,270,"965.144463545767","13105.4832550878","75525.5753711302","103.467309721686","324.275429858445","6.56124043375296"
271,271,"639.986708228329","96086.6376713901","82128.71783747","361.788515722311","724.021132307488","8.24228708761448"
272,272,"226.673150611518","76858.3359197567","18935.9111280528","977.866488457022","253.228943421986","5.4789209674764"
273,273,"508.592777380801","49613.5799564477","34182.3609354715","393.807435990638","770.03909410486","3.48832435284087"
274,274,"475.817519246754","4807.62576694724","45323.687251525","834.650710567619","30.894132324528","6.88815449462069"
275,275,"614.016896845853","4836.81322948877","97603.0249797299","858.142804258335","601.196789035208","3.26514127100337"
276,276,"827.154966823205","17183.6773838493","13086.4894020585","58.1015892195087","68.2866535876803","5.27137490276953"
