"id","commodity_id","opportunity_score","confidence_score","risk_reward_ratio","entry_zone","exit_zone"
250,250,"5.81330600873455","4.412851867105","4.74002597753334","Low Price","High Price"
251,251,"8.35597381276115","0.417266389495392","1.42842100389005","Low Price","High Price"
252,252,"5.03899052372363","6.75229802476745","1.56665801738099","Low Price","High Price"
253,253,"9.91301903177338","3.77066956366189","2.26098042021484","Low Price","High Price"
254,254,"3.68932295736744","4.6685163591669","2.12847766974402","Low Price","High Price"
255,255,"8.14149166874665","7.96605513377775","4.31134279855431","Low Price","High Price"
256,256,"4.00550611223047","2.96754345528176","2.76475265180916","Low Price","High Price"
257,257,"8.285125992813","1.74588841023358","0.548213737259159","Low Price","High Price"
258,258,"8.64864582837892","9.26854799480576","4.1506289291348","Low Price","High Price"
259,259,"1.69179756544904","2.38286221615884","1.07536932945488","Low Price","High Price"
260,260,"3.64966919575613","3.52019458090455","1.07070064815872","Low Price","High Price"
261,261,"8.24052420927928","3.71010861070174","4.50315675858316","Low Price","High Price"
262,262,"7.44695061851275","8.28306966903992","3.51144258775507","Low Price","High Price"
263,263,"8.81861125026465","8.60642969645867","2.77324785941077","Low Price","High Price"
264,264,"7.3322226925756","4.56010375815648","0.81375386974228","Low Price","High Price"
265,265,"9.77390501515288","7.69379150915672","2.86459769388335","Low Price","High Price"
266,266,"1.09025689277368","4.76344690388695","2.8976319709429","Low Price","High Price"
267,267,"0.982194872430728","3.55581198278816","0.875202800636071","Low Price","High Price"
268,268,"3.06617070726834","4.64535855781036","2.17614367896654","Low Price","High Price"
269,269,"7.77398235587085","0.0886816856150552","1.98224656738245","Low Price","High Price"
270,270,"6.95437568201936","0.355584362291654","4.50317951107492","Low Price","High Price"
271,271,"6.73782189813733","2.24008559097586","3.89942833363124","Low Price","High Price"
272,272,"8.821109141592","0.208919116446105","4.6420023380117","Low Price","High Price"
273,273,"3.8188945795316","7.20865842817478","3.41516584107274","Low Price","High Price"
274,274,"2.77531218879952","6.30141473974233","4.39227639111603","Low Price","High Price"
275,275,"6.28931462560901","9.34661583193111","3.7627693803245","Low Price","High Price"
276,276,"1.22281318381423","1.10888238173423","3.59276435915499","Low Price","High Price"
277,277,"8.28379900387807","9.77857626990274","3.78655992489088","Low Price","High Price"
278,278,"7.93786170359376","0.0572659880849558","3.8154995071457","Low Price","High Price"
279,279,"3.47966349481434","8.60688798879788","3.28102063475684","Low Price","High Price"
280,280,"2.89766700608689","4.57614883377467","4.03496032251573","Low Price","High Price"
281,281,"1.68503854599847","7.8062680050597","2.3763367376962","Low Price","High Price"
282,282,"9.63688760983598","7.44763479793081","3.90242276944627","Low Price","High Price"
283,283,"6.78484993349281","1.26827784950771","2.56679100667548","Low Price","High Price"
284,284,"5.86364413059627","8.15448275533472","1.40756315657654","Low Price","High Price"
285,285,"3.06166883537933","3.59400732157746","1.96209840282726","Low Price","High Price"
286,286,"0.394227977606345","6.36687080870291","3.64022914627449","Low Price","High Price"
287,287,"2.42845230627228","9.56464977420707","2.45200290615489","Low Price","High Price"
288,288,"7.71175129904094","9.60944575391428","3.81249448383314","Low Price","High Price"
289,289,"5.12824137322123","9.50826295728191","0.245660968429425","Low Price","High Price"
290,290,"7.96411224497274","4.02984963911817","1.04504314540229","Low Price","High Price"
291,291,"7.34151272420736","6.88317726488393","3.97565057152103","Low Price","High Price"
292,292,"6.92544001518263","4.58572308338544","4.11286496010245","Low Price","High Price"
293,293,"0.908895106977925","8.0428358403684","0.0912200395897067","Low Price","High Price"
294,294,"6.02551090108931","0.47842199102816","2.72947310701523","Low Price","High Price"
295,295,"1.29226475628601","1.56461042999376","4.86870380972554","Low Price","High Price"
296,296,"5.31111585880527","8.10980837936393","0.93999181551918","Low Price","High Price"
297,297,"1.09955300861427","0.063030034082372","1.89929661251819","Low Price","High Price"
298,298,"6.38221322515432","2.13526037958688","1.47522142734174","Low Price","High Price"
299,299,"6.42792003281391","0.600567637241056","2.80150247701127","Low Price","High Price"
300,300,"9.87850802178793","0.97267279851154","1.21823450288493","Low Price","High Price"
301,301,"9.07647226700591","8.83379207247304","2.63080426297642","Low Price","High Price"
302,302,"2.57476128929046","6.31857333654724","3.03982674736382","Low Price","High Price"
303,303,"3.27367993884099","6.13190635772512","2.44306230027644","Low Price","High Price"
304,304,"7.21689419654545","4.53459237869051","2.11825825762427","Low Price","High Price"
305,305,"2.73190000209934","7.67195383282869","2.00101544953273","Low Price","High Price"
306,306,"8.147581057412","1.51997500780336","4.96023467926718","Low Price","High Price"
307,307,"9.50130599707057","0.924950988036659","3.56425838167698","Low Price","High Price"
308,308,"7.78999493262922","1.40101588657115","0.0232072992621002","Low Price","High Price"
309,309,"5.56638224781241","2.16928572725867","0.804928682220182","Low Price","High Price"
310,310,"5.24013102601605","0.306813334477978","0.17629075899748","Low Price","High Price"
311,311,"7.24309945618902","1.66349462152659","1.8007564021428","Low Price","High Price"
312,312,"3.73219945274127","0.084826369728348","2.01270713992818","Low Price","High Price"
