"id","commodity_id","vs_inflation","vs_usd","vs_interest_rate","vs_other_commodities"
1,1,"0.013705477770223","0.0119096344122793","0.578992586430741","0.746331476204112"
2,2,"0.124872007946105","0.988226841348602","0.0869941685713349","0.571174386285852"
3,3,"0.881495681943488","0.985228145528592","0.221254291249473","0.282200460182616"
4,4,"0.822978963398593","0.207966905844968","0.453763115381796","0.445967460345757"
5,5,"0.0364678159064922","0.958890638675145","0.789327445814445","0.914657155754117"
6,6,"0.272759401587163","0.259581645499601","0.220873315129507","0.543318489152903"
7,7,"0.163720607154033","0.414037605977245","0.898575800700525","0.449536086112583"
8,8,"0.122020529470427","0.0156226280045617","0.424212065058169","0.294622962458481"
9,9,"0.37997041663511","0.988519333757984","0.250719728498425","0.0397932409378858"
10,10,"0.790262071119985","0.41072551149298","0.390721779605642","0.166447941645357"
11,11,"0.908296099523926","0.0783402540646772","0.583001585659065","0.863435140426883"
12,12,"0.147773919250276","0.396373820458647","0.10072170503913","0.563706936043933"
13,13,"0.555631137568417","0.258597928545612","0.572020709908308","0.540782495434217"
14,14,"0.584022651838846","0.928009286130727","0.630189913603842","0.618912868645042"
15,15,"0.89017951905966","0.508022518663641","0.285579122347","0.29650853118797"
16,16,"0.0577909216481753","0.81267789532406","0.959590402856261","0.145090842642074"
17,17,"0.150945346157997","0.304449561077024","0.117483751911559","0.510256598167246"
18,18,"0.410910782760895","0.535914367557106","0.922335225101274","0.0671493622560877"
19,19,"0.959781817444008","0.918805322738511","0.319594917446008","0.932184204450735"
20,20,"0.598108219263532","0.962841188983185","0.689087947350466","0.0717739822939159"
21,21,"0.264124179909301","0.75796671712026","0.905609781709112","0.0771951759853271"
22,22,"0.587109031141721","0.797050811008007","0.969729026180752","0.336644829749269"
23,23,"0.212548668526451","0.394498320607662","0.686220818507241","0.392201847060234"
24,24,"0.679248361654698","0.649988944512663","0.440294668256257","0.793229058587975"
25,25,"0.384564584377401","0.680797492276534","0.135961461875589","0.625470586039225"
26,26,"0.837793880870502","0.219187825470137","0.41021282855267","0.36576205337897"
27,27,"0.643184667371406","0.660594674417861","0.623395545163471","0.736239815765071"
28,28,"0.692091154964978","0.264505898920051","0.833935621426555","0.560490827732614"
29,29,"0.44088090228154","0.944366563506778","0.608455643119789","0.468766999855677"
30,30,"0.110378816212876","0.485691495911679","0.0507055808669461","0.711165030165329"
31,31,"0.867849101001321","0.633922324700805","0.814430172623452","0.209375731355761"
32,32,"0.726624744332078","0.75536006824769","0.937142959517934","0.618200900397103"
